мітка_часу,навантаження_мвт,температура_с,вітер_м_с,свято,потужність_мвт
2024-01-01 00:00:00,3805.2,-3.5,1.6,1,4934.4
2024-01-01 01:00:00,3818.5,-5.4,4.5,0,4922.9
2024-01-01 02:00:00,3659.3,-3.1,5.3,0,5106.5
2024-01-01 03:00:00,3701.2,-0.4,3.4,0,4977.0
2024-01-01 04:00:00,4116.5,-5.7,5.4,0,4994.2
2024-01-01 05:00:00,4129.2,-5.7,2.6,0,4947.8
2024-01-01 06:00:00,3840.9,-0.3,0.2,0,5050.9
2024-01-01 07:00:00,4230.5,-2.7,3.2,0,4964.4
2024-01-01 08:00:00,4413.9,-6.4,4.1,0,4978.9
2024-01-01 09:00:00,4463.5,-3.4,3.4,0,5018.4
2024-01-01 10:00:00,4603.9,-6.4,1.7,0,4950.2
2024-01-01 11:00:00,4745.3,-6.4,0.4,0,4994.5
2024-01-01 12:00:00,4584.7,-4.3,3.0,0,5073.6
2024-01-01 13:00:00,4958.4,-10.7,5.8,0,5024.9
2024-01-01 14:00:00,4804.5,-10.2,6.5,0,5010.0
2024-01-01 15:00:00,4777.0,-6.7,6.4,0,5014.2
2024-01-01 16:00:00,4766.3,-8.0,2.4,0,4984.0
2024-01-01 17:00:00,4470.7,-4.1,1.7,0,5103.3
2024-01-01 18:00:00,4542.6,-7.7,5.0,0,4962.8
2024-01-01 19:00:00,4400.9,-9.2,5.3,0,5014.0
2024-01-01 20:00:00,4035.8,-0.6,4.8,0,5009.2
2024-01-01 21:00:00,4182.9,-5.7,0.0,0,5053.9
2024-01-01 22:00:00,3874.7,-4.8,2.3,0,5058.6
2024-01-01 23:00:00,4144.3,-9.3,3.9,0,5001.8
2024-01-02 00:00:00,4027.3,-6.6,5.0,0,5021.4
2024-01-02 01:00:00,3788.8,-4.7,5.5,0,5023.3
2024-01-02 02:00:00,3993.0,-8.4,4.3,0,4893.3
2024-01-02 03:00:00,3909.8,-3.9,4.7,0,4927.4
2024-01-02 04:00:00,3909.5,-6.8,4.2,0,4976.6
2024-01-02 05:00:00,3997.9,-5.9,5.4,0,4978.8
2024-01-02 06:00:00,4157.6,-6.8,4.6,0,4946.9
2024-01-02 07:00:00,3819.4,0.6,4.1,0,5044.4
2024-01-02 08:00:00,4500.1,-5.0,3.5,0,5007.0
2024-01-02 09:00:00,4461.7,-8.2,4.2,0,4996.1
2024-01-02 10:00:00,4482.7,-2.5,5.0,0,4944.1
2024-01-02 11:00:00,4930.9,-8.7,4.5,0,5004.7
2024-01-02 12:00:00,4628.2,-4.4,4.8,0,4875.6
2024-01-02 13:00:00,4965.4,-10.9,6.7,0,4998.7
2024-01-02 14:00:00,4935.4,-9.0,4.5,0,5010.0
2024-01-02 15:00:00,4617.2,-4.4,2.7,0,5019.0
2024-01-02 16:00:00,4562.3,-2.8,5.8,0,4928.7
2024-01-02 17:00:00,4202.7,-4.5,1.3,0,5018.1
2024-01-02 18:00:00,4315.6,-5.3,1.8,0,4954.8
2024-01-02 19:00:00,4380.4,-5.9,4.7,0,4966.3
2024-01-02 20:00:00,4390.6,-9.4,5.0,0,5042.8
2024-01-02 21:00:00,4243.4,-7.2,1.5,0,5107.6
2024-01-02 22:00:00,4067.1,-6.4,3.2,0,5009.5
2024-01-02 23:00:00,3748.9,-1.8,2.8,0,4966.0
2024-01-03 00:00:00,3800.9,-3.9,3.0,0,5019.8
2024-01-03 01:00:00,4336.6,-10.3,5.9,0,5057.3
2024-01-03 02:00:00,3987.3,-4.0,5.4,0,5041.4
2024-01-03 03:00:00,4023.9,-6.1,4.0,0,5147.5
2024-01-03 04:00:00,4092.5,-7.0,2.9,0,4974.6
2024-01-03 05:00:00,4044.0,-3.1,1.3,0,5022.9
2024-01-03 06:00:00,4112.2,-1.9,6.8,0,5087.8
2024-01-03 07:00:00,4193.6,-2.2,5.2,0,5084.6
2024-01-03 08:00:00,4459.3,-7.5,2.6,0,4912.8
2024-01-03 09:00:00,4735.2,-5.9,5.4,0,5010.2
2024-01-03 10:00:00,4567.3,-4.0,3.9,0,5084.5
2024-01-03 11:00:00,4705.4,-2.1,3.4,0,5154.9
2024-01-03 12:00:00,4805.9,-6.4,4.9,0,5045.5
2024-01-03 13:00:00,4728.5,-5.5,2.5,0,4991.9
2024-01-03 14:00:00,5029.8,-8.3,3.3,0,4959.9
2024-01-03 15:00:00,4891.7,-8.6,4.2,0,5121.3
2024-01-03 16:00:00,4477.9,-2.5,3.0,0,5046.8
2024-01-03 17:00:00,4171.7,-0.9,5.3,0,4967.9
2024-01-03 18:00:00,4481.2,-5.2,7.7,0,5000.2
2024-01-03 19:00:00,4091.5,-2.0,2.5,0,5025.8
2024-01-03 20:00:00,4083.6,-3.9,0.7,0,5037.5
2024-01-03 21:00:00,4122.0,-6.9,0.0,0,4965.3
2024-01-03 22:00:00,3982.3,-3.9,3.7,0,4979.6
2024-01-03 23:00:00,3554.7,-0.4,2.7,0,4927.7
2024-01-04 00:00:00,3874.5,-5.1,4.4,0,5065.7
2024-01-04 01:00:00,3759.9,-0.3,4.3,0,4996.7
2024-01-04 02:00:00,4126.0,-12.8,0.8,0,5037.1
2024-01-04 03:00:00,3836.8,-2.5,0.4,0,5084.9
2024-01-04 04:00:00,3926.7,-4.7,4.6,0,5024.8
2024-01-04 05:00:00,4094.2,-5.9,4.3,0,5008.1
2024-01-04 06:00:00,4347.1,-4.7,3.1,0,5023.5
2024-01-04 07:00:00,4443.9,-10.9,0.7,0,5016.9
2024-01-04 08:00:00,4529.0,-5.6,4.9,0,5076.1
2024-01-04 09:00:00,4417.2,-3.9,6.5,0,5029.3
2024-01-04 10:00:00,4317.8,-0.5,4.6,0,4986.5
2024-01-04 11:00:00,4654.1,-6.5,2.3,0,5066.2
2024-01-04 12:00:00,4932.9,-7.4,4.1,0,5075.3
2024-01-04 13:00:00,4802.1,-6.5,1.3,0,4946.8
2024-01-04 14:00:00,4538.3,-2.2,6.1,0,5090.4
2024-01-04 15:00:00,4636.3,-4.0,4.2,0,5032.0
2024-01-04 16:00:00,4680.4,-6.6,0.5,0,5027.9
2024-01-04 17:00:00,4240.0,-3.4,3.4,0,5064.1
2024-01-04 18:00:00,4353.9,-4.7,4.9,0,4985.4
2024-01-04 19:00:00,4248.9,-2.1,3.3,0,5061.5
2024-01-04 20:00:00,4148.5,-7.1,3.4,0,4994.9
2024-01-04 21:00:00,4029.7,-5.9,1.6,0,4940.0
2024-01-04 22:00:00,4014.9,-6.1,5.1,0,4963.9
2024-01-04 23:00:00,4064.4,-9.4,2.7,0,5042.1
2024-01-05 00:00:00,3859.3,-4.1,0.3,0,4969.9
2024-01-05 01:00:00,3743.1,-4.2,3.3,0,5097.7
2024-01-05 02:00:00,3863.5,-4.9,6.0,0,5076.7
2024-01-05 03:00:00,3974.0,-5.6,3.2,0,5083.9
2024-01-05 04:00:00,4280.3,-9.2,7.5,0,5023.4
2024-01-05 05:00:00,4289.7,-6.2,4.9,0,5030.1
2024-01-05 06:00:00,4233.2,-6.0,4.7,0,4957.5
2024-01-05 07:00:00,4631.5,-7.4,3.7,0,5067.0
2024-01-05 08:00:00,4438.9,-5.4,3.9,0,5036.2
2024-01-05 09:00:00,4554.4,-3.7,3.5,0,5045.6
2024-01-05 10:00:00,4510.7,0.7,3.4,0,5101.6
2024-01-05 11:00:00,4679.4,-4.4,5.1,0,4986.9
2024-01-05 12:00:00,4557.1,-4.2,2.1,0,5010.9
2024-01-05 13:00:00,4773.9,-5.2,1.8,0,5033.5
2024-01-05 14:00:00,4997.4,-10.7,1.8,0,4970.4
2024-01-05 15:00:00,4671.3,-5.0,8.1,0,5007.8
2024-01-05 16:00:00,4814.4,-4.8,5.1,0,5041.8
2024-01-05 17:00:00,4019.4,2.4,4.6,0,5000.9
2024-01-05 18:00:00,4492.2,-5.5,1.9,0,5082.6
2024-01-05 19:00:00,4186.5,-4.0,5.2,0,4941.6
2024-01-05 20:00:00,4182.8,-5.0,3.8,0,5073.3
2024-01-05 21:00:00,4348.1,-8.5,4.4,0,5050.3
2024-01-05 22:00:00,3884.5,-1.5,2.0,0,4988.8
2024-01-05 23:00:00,3818.8,-2.7,4.3,0,4971.0
2024-01-06 00:00:00,3740.6,-2.5,3.2,0,4916.6
2024-01-06 01:00:00,4057.1,-7.6,2.5,0,4980.9
2024-01-06 02:00:00,3891.7,-0.7,5.5,0,5073.0
2024-01-06 03:00:00,4064.2,-9.1,0.9,0,5017.8
2024-01-06 04:00:00,4134.8,-3.2,5.1,0,5078.8
2024-01-06 05:00:00,3918.3,1.7,5.4,0,4989.6
2024-01-06 06:00:00,4506.1,-7.9,2.2,0,5056.0
2024-01-06 07:00:00,4451.1,-6.6,2.4,0,4984.7
2024-01-06 08:00:00,4547.2,-4.6,3.6,0,4972.3
2024-01-06 09:00:00,4530.3,-6.4,4.6,0,5015.3
2024-01-06 10:00:00,4827.4,-9.6,3.7,0,4987.4
2024-01-06 11:00:00,4774.0,-4.7,4.9,0,4943.5
2024-01-06 12:00:00,4960.1,-8.1,7.5,0,5011.5
2024-01-06 13:00:00,4672.3,-3.5,3.0,0,5025.9
2024-01-06 14:00:00,4656.2,-7.7,0.6,0,5084.0
2024-01-06 15:00:00,4407.5,-0.3,5.7,0,5067.5
2024-01-06 16:00:00,4651.0,-7.3,7.4,0,5081.6
2024-01-06 17:00:00,4651.4,-5.9,4.8,0,5056.6
2024-01-06 18:00:00,4298.8,-2.5,1.8,0,5037.3
2024-01-06 19:00:00,4459.2,-8.6,3.8,0,4959.2
2024-01-06 20:00:00,4451.8,-4.2,1.8,0,5028.1
2024-01-06 21:00:00,4030.6,-1.0,5.3,0,5050.5
2024-01-06 22:00:00,4361.4,-9.7,1.3,0,5093.5
2024-01-06 23:00:00,4152.7,-4.4,3.4,0,5054.9
2024-01-07 00:00:00,3970.9,-4.1,2.0,0,5086.1
2024-01-07 01:00:00,3726.8,-2.5,4.3,0,4972.4
2024-01-07 02:00:00,4009.6,-8.6,3.3,0,5007.7
2024-01-07 03:00:00,4251.9,-8.9,4.4,0,5045.5
2024-01-07 04:00:00,3758.8,-3.3,4.0,0,5082.1
2024-01-07 05:00:00,4078.2,-4.0,2.0,0,5016.8
2024-01-07 06:00:00,3979.5,-4.1,5.3,0,5019.9
2024-01-07 07:00:00,4303.3,-3.9,3.9,0,5058.4
2024-01-07 08:00:00,4651.7,-6.9,2.0,0,4967.7
2024-01-07 09:00:00,4554.4,-4.2,8.5,0,5104.4
2024-01-07 10:00:00,4699.6,-4.0,5.0,0,4980.1
2024-01-07 11:00:00,5038.7,-7.0,3.7,0,4928.1
2024-01-07 12:00:00,4437.8,0.7,6.8,0,5024.5
2024-01-07 13:00:00,4982.0,-3.5,7.7,0,5109.0
2024-01-07 14:00:00,4988.4,-8.5,3.7,0,5053.4
2024-01-07 15:00:00,4708.4,-2.9,4.7,0,5061.6
2024-01-07 16:00:00,4753.2,-7.8,2.0,0,5026.1
